REPORT_NUMBER,NAME,DATETIME_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,CLASS_TXT,LOSS,RECOV,SPUNIT,SPUNIT_TXT,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,NOMINAL_PIPE_SIZE_IN,PIPE_DIAMETER,INSTALLATION_YEAR,AGE_OF_FACILITY,RELEASE_TYPE,LEAK_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,DETECTED,WATER_CONTAM_IND,CAUSE,,,MPVST,SURNO,TELRN,TELDT,PPPRP,EMRPRP,ENVPRP,OPCPRP,OPCPRPO,PRODPRP,OPPRP,OOPPRP,OOPPRPO,SPILLED,CLASS,GEN_CAUSE,LINE_SEG,IFED,INTER,OFFAREA,BNUMB,OFFST,OCS,OPPROP,PIPEROW,HCA,HCADESC,SYSPRT,SYSPRT_TXT,SYSPRTO,FAIL_OC,FAIL_OCO,INC_PRS,MOP,LRTYPE,LRTYPEO,LEAK,PUNC_DIAM,RUPTURE,RUPTURE_TXT,RUPLN,PROPLN,UBLKVM,UBLKVA,UBLKVR,UBLKVC,DBLKVM,DBLKVA,DBLKVR,DBLKVC,SEGISO,VLVDIST,SEGCONF,INLINE,INLINE_TXT,DRHRMF,DRHRMFY,DRLRMF,DRLRMFY,DRUT,DRUTY,DRGEO,DRGEOY,DRCAL,DRCALY,DRCRK,DRCRKY,DRHARD,DRHARDY,DROTH,DROTHY,WALLTHK,SPEC,SMYS,SEAM,VALVE,MANU,MANYR,LOCLK,EFAT,NFAT,GPFAT,EINJ,NINJ,GPINJ,SHUTDAY,SHUTHR,SHUTMIN,EVAC,EVACNO,EVAC_REASON,EVAC_REASON_TEXT,STHH,STMN,IMPACT,REMEDIAL,RSURFACE,RGROUND,RSOIL,RVEG,RWILD,AMT_IN_WATER,OCEAN,SURFACE,GROUNDW,DRINK,DRINKSRC,DRINKSRC_TXT,COMP_BASED,DETECTED,DETECTEDO,DURLEAK_DAY,DURLEAK_HR,CAUSE,CAUSE_TXT,PIPE_COAT,PIPE_COAT_TXT,VIS_EXAM,VIS_EXAM_TXT,VIS_EXAMO,COR_CAUSE,COR_CAUSE_TXT,COR_CAUSEO,PROT,CPYR,PREV_DAM,PREV_DAM_YR,PREV_DAM_MO,PREV_DAM_UK,EARTH_MOVE,EARTH_MOVE_TXT,EARTH_MOVEO,FLOODS,FLOODS_TXT,FLOODSO,TEMPER,TEMPER_TXT,TEMPERO,THIRD_PARTY_GRP,THIRD_PARTY_GRP_TXT,THIRD_PARTY_TYPE,THIRD_PARTY_TYPE_TXT,THIRD_PARTY_TYPEO,EXCAV_TYPE,EXCAV_TYPE_TXT,EXCAV_ON,EXCAV_LAST_CONTACT,NOTIF,NOTIF_DATE,NOTIF_RCVD_TXT,MARKED,TEMP_MARK,TEMP_MARK_TXT,PERM_MARK,ACC_MARK,ACC_MARK_TXT,MKD_IN_TIME,FIRE_EXPLO,FIRE_EXPLO_TXT,PIPE_BODY,PIPE_BODY_TXT,PIPE_BODYO,COMPONENT,COMPONENT_TXT,COMPONENTO,JOINT,JOINT_TXT,JOINTO,BUTT,BUTT_TXT,BUTTO,FILLET,FILLET_TXT,FILLETO,PIPE_SEAM,PIPE_SEAM_TXT,PIPE_SEAMO,FAIL_TYPE,FAIL_TYPE_TXT,CONS_DEF,CONS_DEF_TXT,PIPE_DAMAGE,PRS_TEST,TEST_DATE,TEST_MED,TEST_MED_TXT,TEST_MEDO,TEST_TP,TEST_PRS,MALFUNC,MALFUNC_TXT,MALFUNCO,THREADS,THREADS_TXT,THREADSO,SEAL,SEAL_TXT,SEALO,IO_TYPE,IO_TYPE_TXT,IO_TYPEO,IO_DRUG,IO_ALCO,MISC,UNKNOWN,UNKNOWN_TXT,PNAME,PTEL,PEMAIL,PFAX,NARRATIVE
20030455,CHEVRON PIPELINE CO,12/4/2003,121.53993,37.74494,CRUDE OIL,CRUDE OIL,750,400,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,28,BODY OF PIPE,18,,,,LEAK,PUNCTURE,0,,CPM/SCADA-BASED SYSTEM WITH LEAK DETECTION,NO,EXCAVATION DAMAGE,,,151.5,,707 077,12/4/2003,0,0,0,0,,0,0,0,,YES,4,3,KLM,NO,INTRASTATE,,,,NO,NO,YES,YES,ECOLOGICAL,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,110,635,1,,3,3,,,,,NO,NO,YES,NO,NO,NO,YES,NO,110880,110880,YES,1,YES,YES,2002,NO,,NO,,YES,2002,NO,,NO,,NO,,NO,,0.25,,24000,ERW,,,,4,0,0,0,0,0,0,1,6,0,NO,,,,1,0,NO,YES,NO,NO,YES,NO,NO,,,,,,,,YES,1,,0,6,9,THIRD PARTY EXCAVATION DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,1,GENERAL PUBLIC,7,LANDOWNER - NOT FARMING RELATED,,2,"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)",NO,,NO,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARY SAENZ,2815963568,GARYSAENZ@CHEVRONTEXACO.COM,2815963626,
20030456,MOBIL PIPELINE CO,11/21/2003,29.56.37,-95.22.35,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",30,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,1050,,,,INCORRECT OPERATION,,,,ALDINE STATION,NA,,0,0,0,0,,50,0,1000,CLEAN UP AND REPAIRS,YES,3,7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. H. ADAMS,7136563926,M.H.ADAMS@EXXONMOBIL.COM,7136568232,
20030457,MOBIL OIL CORP - WEST COAST PIPELINE,11/24/2003,,,CRUDE OIL,CRUDE OIL,10,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,2800,,,,EQUIPMENT,,,,EMIDIO PUMP STATION,NA,,0,0,0,0,,0,0,2800,"NEW TANK MIXER SEAL, CLEANUP AND REPAIR",YES,4,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. H. ADAMS,7136563926,M.H.ADAMS@EXXONMOBIL.COM,7136568232,
20030458,EXXONMOBIL PIPELINE CO,12/2/2003,"N29 19' 36""","W89 58' 30""",CRUDE OIL,CRUDE OIL,356,100,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER WATER,12,PIPE SEAM,12,,1964,,RUPTURE,,2575000,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,MATERIAL AND/OR WELD FAILURES,,,,,706836,12/2/2003,0,0,0,0,,5000,412336,2157664,CLEAN-UP COSTS,YES,4,5,GRAND ISLE TO LITTLE LAKE,NO,INTERSTATE,,,,NO,NO,NO,YES,WATER/NAV WATERWAY,6,"OFFSHORE PIPELINE, INCLUDING PLATFORM",,2,,1100,1208,2,,,,2,LONGITUDINAL-TEAR/CRACK,37,3,YES,NO,NO,NO,YES,NO,NO,NO,52800,52800,YES,3,DON'T KNOW,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.25,X52,52000,ERW,,REPUBLIC STEEL CORP,1964,5,0,0,0,0,0,0,14,4,0,NO,,,,,,YES,NO,NO,NO,NO,NO,NO,356,YES,NO,NO,NO,,,YES,3,,0,1,19,PIPE SEAM WELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,HF ERW,,2,MATERIAL DEFECT,,,NO,YES,5//1995,1,WATER,,8,1500,,,,,,,,,,,,,,,,,,THAD MASSENGALE,7136562258,THAD.MASSENGALE@EXXONMOBIL.COM,7136568232,"LOCAL OPERATING PERSONAL SHUT THE SYSTEM DOWN DUE TO A SUSPECTED LEAK. AN AERIAL OVERFLIGHT CONFIRMED OIL ON THE WATER. SPILL RESPONCE WAS IMMEDIATELY INITIATED. OIL WAS CONTAINED WITH BOOMS AND RECOVERED UTILIZING SKIMMERS AND SORBENT PADDING.    INCIDENT INVESTIGATION IS ONGOING AND A REPORT IS PENDING.     INCIDENT INVESTIGATION COMPLETE APRIL 30, 2004 ANS WAS SHARED WITH A.T. RALLIS, C. MCLAREN, AND R. LOPEZ WITH THE OPS. INVESTIGTION SHOWED THE PROBABLE CAUSE OF THE FAILURE TO BE THE RESULT OF FLAWS IN THE PIPE MANUFACTURING PROCESS COMBINED WITH EXTERNAL CORROSION."
20030459,BP PIPELINE (NORTH AMERICA) INC.,11/14/2003,41 N 24.6,87 W 59.4,CRUDE OIL,CRUDE OIL,30,30,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,20000,,,,CORROSION,,,,,705383,11/14/2003,0,20000,0,0,,0,0,0,,YES,4,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRANK ACOSTA,8154786127,ACOSTAFE@BP.COM,8154783183,
20030460,PLANTATION PIPE LINE CO,12/5/2003,N 30 32.870',W 91 09.723',GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",10,10,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,300,,,,EQUIPMENT,,,,,,,0,0,0,0,,0,0,300,COMPANY & CONTRACT LABOR COST,YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUINTIN H FRAZIER,7707514240,QUINTIN _FRAZIER@KINDERMORGAN .COM,7707514230,
20030461,AMOCO OIL CO,11/11/2003,39.12009,94.44455,LOW SULFUR DIESEL FUEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",4,1,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,UNDER GROUND,15,OTHER,2,,1952,,,,48100,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,EQUIPMENT,,,0,,705037,11/11/2003,0,7000,40000,0,,100,1000,0,,YES,3,6,SUGAR CREEK - COUNCIL BLU,NO,INTERSTATE,,,,NO,YES,YES,NO,,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,14,DRAIN VALVE,0,0,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.24,GRADE B,35000,SEAMLESS,PLUG,ROCKWELL,1972,4,0,0,0,0,0,0,,,,NO,,,,1,0,YES,YES,NO,YES,YES,NO,NO,0.05,NO,YES,YES,NO,,,NO,3,,1,0,15,COMPONENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,VALVE,,,,,,,,,,,,,,2,MATERIAL DEFECT,,,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,GERALD LAUER,8154786122,LAUERGI@BP.COM,8154785752,DRAIN VALVE ON PIPELINE STRAINER EQUIPMENT LEAKED THROUGH AND INTO STATION DRAIN SYSTEM PIPING. WORK PERFORMED 20 YEARS PRIOR ON STATION DRAIN AND SUMP SYSTEM RESULTED IN THE STRAINER DRAIN PIPING BEGING TIED INTO ABANDONED-IN-PLACE DRAIN SYSTEM PIPING.  USE OF THE DRAIN VALVE TO DRAIN THE STRAINER HAD NOT OCCURRED.  STRAINER WAS OPENED ONLY TWICE IN PAST 20 YEARS FOR SERVICE AND A VACUUM TRUK WAS USED TO REMOVE RESIDUAL PRODUCT FROM THE STRAINER BODY FROM THE TOP OF THE STRAINER AFTER IT WAS OPENED.  ABANDONED IN PLACE PIPING HAS BEEN REMOVED AND THE STRAINER DRAIN PIPING HAS ALSO BEEN REMOVED.  A NEW PLUG VALVE WAS INSTALLED ON THE STRAINER.
20030462,MOBIL PIPELINE CO,12/5/2003,32.41.38,-101.0.58,NGL,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1604,0,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,UNDER GROUND,30,BODY OF PIPE,6.63,,1955,,LEAK,PUNCTURE,53000,NO,A THIRD PARTY,NO,EXCAVATION DAMAGE,,,MP 30,"SEC 192, BLK. 97 H&TCRRCO",NA,,0,0,0,0,,38000,0,15000,"REPAIRS, CONTACT LABOR, CO. LABOR",YES,1,3,TORCH TO IATAN 6,NO,INTRASTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,250,1044,1,,3,1,,,,,YES,NO,NO,NO,YES,NO,NO,NO,50160,50160,NO,2,NO,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.19,X-42,42000,SEAMLESS,,,,4,0,0,0,0,0,0,,,,NO,,,,1,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,6,,3,0,9,THIRD PARTY EXCAVATION DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,3,EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR,10,OTHER LIQUID OR GAS TRANSMISSION PIPELINE OPERATOR OR THEIR CONTRACTOR,,1,OPEN TRENCH,YES,,NO,,,YES,1,FLAGS,,1,ACCURATE,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. H. ADAMS,7136563926,M.H.ADAMS@EXXONMOBIL.COM,7136568232,"A PRODUCTION COMPANY HAD A TRACKHOE OPERATOR WORKING IN THE AREA EXCAVATING TO RELOCATE AND BURY AN OLD PUMP PAD AND COLLAR WHEN THE TRACKHOE OPERATOR HIT EXXONMOBIL PIPELINE COMPANY'S 6"" INACTIVE TORCH TO IATAN NGL LINE WITH THE TRACKHOE BUCKET.  THE LINE HAS BEEN INACTIVE THE PAST YEAR AND ONLY HAD ~250 PSI.  THE ESCAPING NGL VAPORS WERE MINIMAL AND DUE TO THE LOCATION OF THE PUNCTURE, THE VAPORS ESCAPED AND DISIPATED INTO THE HOLE PREVIOUSLY DUG BY THE TRACKHOE OPERATOR.  ALL SAFETY AND CONTAINMENT MEASURES WERE TAKEN AND PUBLIC SAFETY AND ENVIRONMENTAL IMPACTS WERE MINIMAL.   THE LINE DEPRESSURIZED FOR ~3 DAYS INTO THE CONTAINMENT HOLE.  PERMANENT REPAIRS WERE MADE BY REPLACING THE DAMAGED SECTION OF PIPE WITH NEW TESTED PIPE.  THE TEXAS RAILROAD COMMISSION PIPELINE SAFETY DIVISION WAS NOTIFIED IN ACCORDANCE WITH TAC AND PART 195 REGULATIONS AND COMPANY PROCEDURES.  THE TRRC ASSIGNED REPORT #04-HC-017."
20030463,"KINDER MORGAN ENERGY PARTNERS, L.P.",11/11/2003,N 41.65227,W 88.03058,PROPANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,6,0,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,,BODY OF PIPE,3,,1968,,,,8200,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,CORROSION,,,,,,,0,0,0,0,,2200,1000,5000,LABOR,YES,1,1,,NO,INTERSTATE,,,,NO,NO,NO,YES,"HPA, OPA, ESA & NW",3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,1,,190,720,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.22,UNKNOWN,24000,UNKNOWN,N/A,UNKNOWN,,3,0,0,0,0,0,0,,,,NO,,,,0,35,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,3,,,,1,"CORROSION, EXTERNAL",2,COATED,2,GENERAL CORROSION,,2,ATMOSPHERIC,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAIME A HERNANDEZ,7133699443,JAIME_HERNANDEZ@KINDERMORGAN.COM,7134952767,AN EXTERNAL CORROSION LEAK WAS ENCOUNTERED DURING AN INSPECTION PROJECT OF OUR PROPANE DEHYDRATOR PIPING LOCATED UNDER THERMAL INSULATION.  THE FACILITY WAS SUBSEQUENTLY SHUT IN BY LOCAL OPERATING PERSONNEL WHEN THEY INITIATED AN ESD. THE DEHYDRATOR PIPING WAS FURTHER ISOLATED AND BLOWN DOWN.  THE PIPING CONTAINING THE EXTERNAL CORROSION LEAK WAS REPLACED AND THE SYSTEM WAS RETURNED TO SERVICE.
20030464,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",12/2/2003,"47* 41' 20""","-95* 24' 44""",CRUDE OIL,CRUDE OIL,47,40,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,48,BODY OF PIPE,16,,1991,,,,36200,NO,"REMOTE OPERATING PERSONNEL, INCLUDING CONTROLLERS",NO,MATERIAL AND/OR WELD FAILURES,,,909.19,,,,0,20000,5000,10000,REPAIR FITTING,1200,0,0,,YES,4,5,,NO,INTERSTATE,,,,NO,YES,NO,YES,US OPA,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,1,,0,780,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.25,API5L,42000,,,GENEVA,1991,4,0,0,0,0,0,0,0,19,40,NO,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,4,,0,13,14,BODY OF PIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,OTHER,16,,,,,,,,,,,,,,,,2,MATERIAL DEFECT,,,NO,YES,10/24/1991,1,WATER,,8,1082,,,,,,,,,,,,,,,,,,THERESA PICTON,7153941468,THERESA.PICTON@ENBRIDGE.COM,8323255477,"ENBRIDGE CONTROL CENTER OPERATOR RECEIVED A GAS ALARM AT CLEARBROOK AND DISPATCHED FIELD GAUGER TO CHECK IT OUT.  GAUGER FOUND CRUDE OIL ON GROUND WITHIN BUILDING THAT HOUSES CONTROL VALVES FOR 36"" AND 26"" DELIVERY LINES TO MINNESOTA PIPELINE.  ALL LINES WERE SHUT DOWN AND AREA WAS ISOLATED.  BEMIDJI PLM WAS DISPATCHED.  EXCAVATION REVEALED A 1/8"" HOLE IN THE 16"" BYPASS LINE AROUND THE 26"" CONTROL VALVE 151-PCV-211.  FREE OIL WAS RECOVERED WITH VACUUM TRUCKS AND REINJECTED AT CLEARBROOK.  CONTAMINATED SOIL HAS BEEN HAULED TO AN APPROVED LAND FARM FACILITY (MARK II OF FOSSTON).  AN 18"" LONG PLIDCO SPLIT+SLEEVE WAS INSTALLED."
20030465,KANEB PIPE LINE CO,11/24/2003,37.931539,-97.019922,DIESEL FUEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",16,5,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,0,COMPONENT,,,1990,,,,3500,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,POTWIN P.S.,,N/A,,0,1500,1000,0,,500,500,0,,YES,3,6,POTWIN STATION,NO,INTERSTATE,,,,NO,YES,NO,YES,OTHER POPULATED AREA,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,7,,525,960,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,N/A,,N/A,N/A,N/A,,3,0,0,0,0,0,0,0,3,0,NO,,,,0,30,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,3,,0,4,21,"THREADS STRIPPED, BROKEN PIPE COUPLING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NIPPLES,,,,,,,,,,,,,"CHAD HAEGELIN,  SR MGR INTEGRITY ENGINEER",2109183555,CHAD.HAEGELIN@NUSTARENERGY.COM,,A PIPE NIPPLE ON THE PUMP SEAL FLUSHING LINE BROKE AT THE THREADS RESULTING IN THE LEAK.      4/20/2010 -- REPORT UPDATED PER RESULTS OF LEAK REVIEW SPRING 2010. NO CHANGE IN CAUSE.
20030466,"MAGELLAN PIPELINE COMPANY, LLC",11/11/2003,45.979,-95.645,UNLEADED GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",19,19,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,INSIDE A VALVE BOX,,VALVE,6.63,,1987,,,,61180,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,14+44,,,,8000,7100,32500,8000,"LAB SERVICE, LABOR",1000,80,4500,LABOR/CONTRACTOR,YES,3,6,#1-6 ALEX-GRND FORKS,NO,INTERSTATE,,,,NO,NO,YES,NO,,4,OTHER,DRAIN VALVE OF BLOCK VALVE,8,,30,1062,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.19,GRADE B,35000,ERW,BALL,WATTS,1987,7,0,0,0,0,0,0,7,0,30,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,3,,5,3,22,RUPTURED OR LEAKING SEAL/PUMP PACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,O-RING,,,,,,,,,,KENNETH L LYBARGER,9185730350,KENNETH.LYBARGER@MAGELLANLP.COM,9185731183,"PIPELINE WAS SHUT IN BETWEEN SHIPMENTS AT THE TIME THE RELEASE WAS DISCOVERED. FAULTY SEAL LEAKED ON 1"" DRAIN VALVE ON SIDE OF MAINLINE BLOCK VALVE.  REPAIR MADE BY INSTALLING NEW 1"" VALVE.  CONTAMINATED SOIL REMOVED AND REPLACED WITH CLEAN FRESH SOIL, AND WILL BE MITIGATED IN ACCORDANCE WITH STATE EPA REQUIRMENTS."
20030467,"MAGELLAN PIPELINE COMPANY, LLC",11/10/2003,45.02295,-93.19813,FUEL OIL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",5,5,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,725,,,,NATURAL FORCES,,,0+00,,,,0,0,0,0,,0,585,140,LABOR,YES,3,2,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENNETH L LYBARGER,9185730350,KENNETH.LYBARGER@MAGELLANLP.COM,9185731183,
20030468,"MAGELLAN PIPELINE COMPANY, LLC",12/3/2003,N 38.88148557,W 94.74519405,N GRADE GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",7,7,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,,PUMP,,,1995,,,,7900,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,EQUIPMENT,,,0+00,,,,0,0,0,0,,0,400,7500,TREATMENT OF CONTAMINATED WATER AND SOIL,YES,3,6,OLATHE STATION,NO,INTERSTATE,,,KS,NO,YES,NO,YES,HIGH POPULATION,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,4,,50,20,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,3,0,0,0,0,0,0,,,,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,100,NO,YES,NO,NO,,,NO,3,,,1,22,RUPTURED OR LEAKING SEAL/PUMP PACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KENNETH L LYBARGER, SR COMPLIANCE COORDINATOR",9185730350,KENNETH.LYBARGER@MAGELLANLP.COM,9185731183,SEAL LEAKED ON PUMP ON BREAK OUT TANK.  REPAIR MADE BY REPLACING WITH NEW SEAL. CONTAMINATED WATER WILL BE REMEDIATED IN ACCORDANCE WITH STATE EPA GUIDELINES AND COMPANY PROCEDURES.
20030469,"TE PRODUCTS PIPELINE CO., LP",12/10/2003,N 33 15' 15,W 92 37' 30,GASOLINE U/L REGULAR,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",21,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,267,,,,EQUIPMENT,,,,,,,0,0,0,0,,17,0,250,CLEAN UP COSTS,YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JLYNN P STOUT,7137593614,JPSTOUT@TEPPCO.COM,7137593931,
